episode,rule_based_reward,random_reward
0,0.6586459934784741,0.0
1,0.5062611108249233,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.7196039603960396,0.0
9,0.0,0.0
10,0.0,0.625
11,0.0,0.0
12,0.0,0.559804652574104
13,0.6586459934784741,0.0
14,0.7196039603960396,0.0
15,0.0,0.0
16,0.6473338608979566,0.0
17,0.0,0.7175896580483736
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.5454924779278891
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
